ID,Lat,Lon,Lower depth (cm),Upper depth (cm),clay,ph,sand,silt
292,39.73,109.1424,60.0,40.0,18.4,8.3,53.9,27.8
293,39.73,109.1424,100.0,60.0,18.8,8.4,55.0,26.1
294,39.73,109.1424,100.0,0.0,18.465,8.34,54.47,27.05
295,39.73,109.1424,10.0,0.0,17.9,8.3,54.75,27.299999999999997
296,39.73,109.1424,20.0,10.0,18.25,8.3,54.150000000000006,27.6
297,39.73,109.1424,40.0,20.0,18.25,8.3,54.0,27.8
298,39.73,109.1424,60.0,40.0,18.4,8.3,53.9,27.8
299,39.73,109.1424,100.0,60.0,18.8,8.4,55.0,26.1
300,39.726,110.245,100.0,0.0,20.275,8.194999999999999,46.56999999999999,33.17
301,39.726,110.245,10.0,0.0,18.45,8.149999999999999,48.75,32.8
302,39.726,110.245,20.0,10.0,18.6,8.2,47.85,33.6
303,39.726,110.245,40.0,20.0,20.25,8.2,46.45,33.35
304,39.726,110.245,60.0,40.0,21.2,8.2,45.3,33.5
305,39.726,110.245,100.0,60.0,20.7,8.2,46.4,32.9
306,34.3188888888888,8.99805555555555,20.0,0.0,21.725,8.1,51.45,26.849999999999998
307,34.3188888888888,8.99805555555555,40.0,20.0,22.5,8.149999999999999,51.55,25.9
308,34.3188888888888,8.99805555555555,60.0,40.0,22.6,8.2,51.9,25.5
309,34.3188888888888,8.99805555555555,80.0,60.0,21.9,8.3,52.3,25.8
310,34.3188888888888,8.99805555555555,100.0,80.0,21.9,8.3,52.3,25.8
311,35.6394444444444,9.91916666666666,20.0,0.0,31.975,7.775,40.099999999999994,27.9
312,35.6394444444444,9.91916666666666,40.0,20.0,34.1,7.95,39.7,26.15
313,35.6394444444444,9.91916666666666,60.0,40.0,35.1,8.0,39.1,25.8
314,35.6394444444444,9.91916666666666,80.0,60.0,35.3,8.1,38.0,26.7
315,35.6394444444444,9.91916666666666,100.0,80.0,35.3,8.1,38.0,26.7
316,43.5,116.816666666666,10.0,0.0,18.25,7.85,52.35,29.4
317,43.5,116.816666666666,20.0,10.0,19.25,7.9,51.3,29.450000000000003
318,34.45,47.9833333333333,20.0,0.0,39.975,7.675,14.3,45.725
319,34.45,47.9833333333333,40.0,20.0,40.45,7.75,14.75,44.8
320,-31.3333333333333,-65.4666666666666,20.0,0.0,22.924999999999997,7.1499999999999995,42.375,34.7
321,-31.3333333333333,-65.4666666666666,20.0,0.0,22.924999999999997,7.1499999999999995,42.375,34.7
322,-4.1955,36.92413,10.0,0.0,33.1,7.0,54.25,12.65
323,-4.1955,36.92413,10.0,0.0,33.1,7.0,54.25,12.65
324,-4.1955,36.92413,10.0,0.0,33.1,7.0,54.25,12.65
325,-27.9833333333333,148.55,5.0,0.0,28.2,7.6,59.7,12.1
326,-27.9833333333333,148.55,10.0,5.0,28.6,7.7,59.4,12.1
327,-27.9833333333333,148.55,20.0,10.0,33.95,7.75,54.7,11.35
328,-27.9833333333333,148.55,30.0,20.0,39.3,7.8,50.0,10.6
329,-27.9833333333333,148.55,60.0,30.0,45.8,8.1,44.6,9.6
330,-27.9833333333333,148.55,100.0,60.0,46.7,8.0,43.7,9.6
331,-27.9833333333333,148.55,5.0,0.0,28.2,7.6,59.7,12.1
332,-27.9833333333333,148.55,10.0,5.0,28.6,7.7,59.4,12.1
333,-27.9833333333333,148.55,20.0,10.0,33.95,7.75,54.7,11.35
334,-27.9833333333333,148.55,30.0,20.0,39.3,7.8,50.0,10.6
